active_dates_and_times.Time,active_dates_and_times,active_dates_and_times.name
2015-01-01,211.0,AdguardTeam_AdguardFilters
2015-01-01,312.0,angular_angular
2015-01-01,137.0,ankidroid_AnkiAndroid
2015-01-01,252.0,ansible_ansible
2015-01-01,257.0,apache_flink
2015-01-01,549.0,apache_spark
2015-01-01,428.0,ArduPilot_ardupilot
2015-01-01,185.0,Automattic_jetpack
2015-01-01,132.0,Azure_azurepowershell
2015-01-01,47.0,Azure_azuresdkforjava
2015-01-01,205.0,Azure_azuresdkfornet
2015-01-01,40.0,Azure_azuresdkforpython
2015-01-01,397.0,bitcoin_bitcoin
2015-01-01,389.0,ceph_ceph
2015-01-01,622.0,CleverRaven_CataclysmDDA
2015-01-01,403.0,cmssw_cmssw
2015-01-01,254.0,cockroachdb_cockroach
2015-01-01,211.0,darktableorg_darktable
2015-01-01,262.0,DefinitelyTyped_DefinitelyTyped
2015-01-01,142.0,directus_directus
2015-01-01,228.0,dotnet_aspnetcore
2015-01-01,277.0,dotnet_efcore
2015-01-01,331.0,dotnet_roslyn
2015-01-01,524.0,elastic_elasticsearch
2015-01-01,260.0,elastic_kibana
2015-01-01,462.0,electron_electron
2015-01-01,658.0,facebook_react
2015-01-01,256.0,getsentry_sentry
2015-01-01,319.0,godotengine_godot
2015-01-01,684.0,golang_go
2015-01-01,485.0,gradle_gradle
2015-01-01,446.0,grafana_grafana
2015-01-01,74.0,homeassistant_core
2015-01-01,70.0,homeassistant_homeassistant.io
2015-01-01,554.0,Homebrew_homebrewcask
2015-01-01,389.0,JetBrains_swot
2015-01-01,166.0,jitsi_jitsimeet
2015-01-01,316.0,jlord_patchwork
2015-01-01,523.0,joomla_joomlacms
2015-01-01,645.0,JuliaLang_julia
2015-01-01,217.0,keycloak_keycloak
2015-01-01,412.0,kubernetes_kubernetes
2015-01-01,232.0,laravel_framework
2015-01-01,302.0,magento_magento2
2015-01-01,423.0,MarlinFirmware_Marlin
2015-01-01,361.0,matplotlib_matplotlib
2015-01-01,79.0,matrixorg_synapse
2015-01-01,458.0,microsoft_TypeScript
2015-01-01,551.0,mrdoob_three.js
2015-01-01,473.0,mui_materialui
2015-01-01,640.0,neovim_neovim
2015-01-01,548.0,NixOS_nixpkgs
2015-01-01,519.0,nodejs_node
2015-01-01,241.0,obsproject_obsstudio
2015-01-01,336.0,odoo_odoo
2015-01-01,189.0,opencv_opencv
2015-01-01,98.0,openhab_openhabaddons
2015-01-01,212.0,openshift_openshiftdocs
2015-01-01,313.0,openssl_openssl
2015-01-01,311.0,pandasdev_pandas
2015-01-01,527.0,php_phpsrc
2015-01-01,331.0,postmanlabs_postmanappsupport
2015-01-01,10.0,ppy_osu
2015-01-01,246.0,PrestaShop_PrestaShop
2015-01-01,358.0,qbittorrent_qBittorrent
2015-01-01,260.0,qgis_QGIS
2015-01-01,51.0,qmk_qmk_firmware
2015-01-01,528.0,rails_rails
2015-01-01,241.0,rancher_rancher
2015-01-01,262.0,rapid7_metasploitframework
2015-01-01,505.0,redis_redis
2015-01-01,194.0,RPCS3_rpcs3
2015-01-01,352.0,rstudio_rstudio
2015-01-01,691.0,rustlang_rust
2015-01-01,446.0,scikitlearn_scikitlearn
2015-01-01,487.0,scipy_scipy
2015-01-01,58.0,spack_spack
2015-01-01,465.0,symfony_symfony
2015-01-01,580.0,tgstation_tgstation
2015-01-01,156.0,webcompat_webbugs
2015-01-01,295.0,woocommerce_woocommerce
2015-01-01,601.0,xbmc_xbmc
2015-02-01,146.0,AdguardTeam_AdguardFilters
2015-02-01,295.0,angular_angular
2015-02-01,190.0,ankidroid_AnkiAndroid
2015-02-01,490.0,ansible_ansible
2015-02-01,259.0,apache_flink
2015-02-01,607.0,apache_spark
2015-02-01,363.0,ArduPilot_ardupilot
2015-02-01,288.0,Automattic_jetpack
2015-02-01,206.0,Azure_azurepowershell
2015-02-01,85.0,Azure_azuresdkforjava
2015-02-01,118.0,Azure_azuresdkfornet
2015-02-01,153.0,Azure_azuresdkforpython
2015-02-01,489.0,bitcoin_bitcoin
2015-02-01,384.0,ceph_ceph
2015-02-01,536.0,CleverRaven_CataclysmDDA
2015-02-01,462.0,cmssw_cmssw
2015-02-01,250.0,cockroachdb_cockroach
2015-02-01,272.0,darktableorg_darktable
2015-02-01,203.0,DefinitelyTyped_DefinitelyTyped
2015-02-01,115.0,directus_directus
2015-02-01,246.0,dotnet_aspnetcore
2015-02-01,65.0,dotnet_AspNetCore.Docs
2015-02-01,244.0,dotnet_efcore
2015-02-01,431.0,dotnet_roslyn
2015-02-01,505.0,elastic_elasticsearch
2015-02-01,403.0,elastic_kibana
2015-02-01,385.0,electron_electron
2015-02-01,734.0,facebook_react
2015-02-01,313.0,getsentry_sentry
2015-02-01,194.0,godotengine_godot
2015-02-01,561.0,golang_go
2015-02-01,417.0,gradle_gradle
2015-02-01,387.0,grafana_grafana
2015-02-01,160.0,grpc_grpc
2015-02-01,183.0,homeassistant_core
2015-02-01,110.0,homeassistant_homeassistant.io
2015-02-01,445.0,Homebrew_homebrewcask
2015-02-01,108.0,JetBrains_swot
2015-02-01,214.0,jitsi_jitsimeet
2015-02-01,409.0,jlord_patchwork
2015-02-01,510.0,joomla_joomlacms
2015-02-01,712.0,JuliaLang_julia
2015-02-01,223.0,keycloak_keycloak
2015-02-01,370.0,kubernetes_kubernetes
2015-02-01,444.0,laravel_framework
2015-02-01,378.0,magento_magento2
2015-02-01,355.0,MarlinFirmware_Marlin
2015-02-01,448.0,matplotlib_matplotlib
2015-02-01,166.0,matrixorg_synapse
2015-02-01,315.0,microsoft_TypeScript
2015-02-01,470.0,mrdoob_three.js
2015-02-01,462.0,mui_materialui
2015-02-01,473.0,neovim_neovim
2015-02-01,606.0,NixOS_nixpkgs
2015-02-01,527.0,nodejs_node
2015-02-01,138.0,obsproject_obsstudio
2015-02-01,374.0,odoo_odoo
2015-02-01,347.0,opencv_opencv
2015-02-01,212.0,openhab_openhabaddons
2015-02-01,227.0,openshift_openshiftdocs
2015-02-01,206.0,openssl_openssl
2015-02-01,375.0,pandasdev_pandas
2015-02-01,392.0,php_phpsrc
2015-02-01,215.0,postmanlabs_postmanappsupport
2015-02-01,105.0,PrestaShop_PrestaShop
2015-02-01,313.0,qbittorrent_qBittorrent
2015-02-01,400.0,qgis_QGIS
2015-02-01,38.0,qmk_qmk_firmware
2015-02-01,566.0,rails_rails
2015-02-01,165.0,rancher_rancher
2015-02-01,314.0,rapid7_metasploitframework
2015-02-01,325.0,redis_redis
2015-02-01,253.0,RPCS3_rpcs3
2015-02-01,235.0,rstudio_rstudio
2015-02-01,664.0,rustlang_rust
2015-02-01,455.0,scikitlearn_scikitlearn
2015-02-01,410.0,scipy_scipy
2015-02-01,106.0,spack_spack
2015-02-01,40.0,spyderide_spyder
2015-02-01,322.0,symfony_symfony
2015-02-01,751.0,tgstation_tgstation
2015-02-01,166.0,webcompat_webbugs
2015-02-01,293.0,woocommerce_woocommerce
2015-02-01,610.0,xbmc_xbmc
2015-03-01,294.0,AdguardTeam_AdguardFilters
2015-03-01,459.0,angular_angular
2015-03-01,263.0,ankidroid_AnkiAndroid
2015-03-01,485.0,ansible_ansible
2015-03-01,369.0,apache_flink
2015-03-01,592.0,apache_spark
2015-03-01,439.0,ArduPilot_ardupilot
2015-03-01,309.0,Automattic_jetpack
2015-03-01,77.0,Azure_azurepowershell
2015-03-01,74.0,Azure_azuresdkforjava
2015-03-01,115.0,Azure_azuresdkfornet
2015-03-01,127.0,Azure_azuresdkforpython
2015-03-01,362.0,bitcoin_bitcoin
2015-03-01,290.0,ceph_ceph
2015-03-01,649.0,CleverRaven_CataclysmDDA
2015-03-01,473.0,cmssw_cmssw
2015-03-01,287.0,cockroachdb_cockroach
2015-03-01,87.0,cypressio_cypress
2015-03-01,269.0,darktableorg_darktable
2015-03-01,232.0,DefinitelyTyped_DefinitelyTyped
2015-03-01,279.0,directus_directus
2015-03-01,227.0,dotnet_aspnetcore
2015-03-01,92.0,dotnet_AspNetCore.Docs
2015-03-01,218.0,dotnet_efcore
2015-03-01,346.0,dotnet_roslyn
2015-03-01,450.0,elastic_elasticsearch
2015-03-01,324.0,elastic_kibana
2015-03-01,449.0,electron_electron
2015-03-01,534.0,facebook_react
2015-03-01,130.0,facebook_reactnative
2015-03-01,51.0,flutter_flutter
2015-03-01,263.0,getsentry_sentry
2015-03-01,272.0,godotengine_godot
2015-03-01,701.0,golang_go
2015-03-01,457.0,gradle_gradle
2015-03-01,396.0,grafana_grafana
2015-03-01,555.0,grpc_grpc
2015-03-01,141.0,homeassistant_core
2015-03-01,70.0,homeassistant_homeassistant.io
2015-03-01,596.0,Homebrew_homebrewcask
2015-03-01,92.0,JetBrains_swot
2015-03-01,219.0,jitsi_jitsimeet
2015-03-01,568.0,jlord_patchwork
2015-03-01,368.0,joomla_joomlacms
2015-03-01,571.0,JuliaLang_julia
2015-03-01,315.0,keycloak_keycloak
2015-03-01,474.0,kubernetes_kubernetes
2015-03-01,364.0,laravel_framework
2015-03-01,278.0,magento_magento2
2015-03-01,477.0,MarlinFirmware_Marlin
2015-03-01,363.0,matplotlib_matplotlib
2015-03-01,183.0,matrixorg_synapse
2015-03-01,481.0,microsoft_TypeScript
2015-03-01,492.0,mrdoob_three.js
2015-03-01,466.0,mui_materialui
2015-03-01,600.0,neovim_neovim
2015-03-01,530.0,NixOS_nixpkgs
2015-03-01,614.0,nodejs_node
2015-03-01,329.0,obsproject_obsstudio
2015-03-01,362.0,odoo_odoo
2015-03-01,300.0,opencv_opencv
2015-03-01,75.0,openhab_openhabaddons
2015-03-01,201.0,openshift_openshiftdocs
2015-03-01,331.0,openssl_openssl
2015-03-01,338.0,pandasdev_pandas
2015-03-01,457.0,php_phpsrc
2015-03-01,293.0,postmanlabs_postmanappsupport
2015-03-01,268.0,PrestaShop_PrestaShop
2015-03-01,311.0,qbittorrent_qBittorrent
2015-03-01,314.0,qgis_QGIS
2015-03-01,60.0,qmk_qmk_firmware
2015-03-01,531.0,rails_rails
2015-03-01,293.0,rancher_rancher
2015-03-01,361.0,rapid7_metasploitframework
2015-03-01,489.0,redis_redis
2015-03-01,213.0,RPCS3_rpcs3
2015-03-01,286.0,rstudio_rstudio
2015-03-01,562.0,rustlang_rust
2015-03-01,379.0,scikitlearn_scikitlearn
2015-03-01,392.0,scipy_scipy
2015-03-01,69.0,spack_spack
2015-03-01,192.0,spyderide_spyder
2015-03-01,405.0,symfony_symfony
2015-03-01,12.0,systemd_systemd
2015-03-01,579.0,tgstation_tgstation
2015-03-01,273.0,webcompat_webbugs
2015-03-01,287.0,woocommerce_woocommerce
2015-03-01,555.0,xbmc_xbmc
2015-04-01,130.0,AdguardTeam_AdguardFilters
2015-04-01,394.0,angular_angular
2015-04-01,109.0,ankidroid_AnkiAndroid
2015-04-01,464.0,ansible_ansible
2015-04-01,14.0,antdesign_antdesign
2015-04-01,237.0,apache_flink
2015-04-01,515.0,apache_spark
2015-04-01,413.0,ArduPilot_ardupilot
2015-04-01,182.0,Automattic_jetpack
2015-04-01,172.0,Azure_azurepowershell
2015-04-01,76.0,Azure_azuresdkforjava
2015-04-01,289.0,Azure_azuresdkfornet
2015-04-01,86.0,Azure_azuresdkforpython
2015-04-01,448.0,bitcoin_bitcoin
2015-04-01,467.0,ceph_ceph
2015-04-01,635.0,CleverRaven_CataclysmDDA
2015-04-01,391.0,cmssw_cmssw
2015-04-01,264.0,cockroachdb_cockroach
2015-04-01,77.0,cypressio_cypress
2015-04-01,237.0,darktableorg_darktable
2015-04-01,194.0,DefinitelyTyped_DefinitelyTyped
2015-04-01,106.0,directus_directus
2015-04-01,272.0,dotnet_aspnetcore
2015-04-01,177.0,dotnet_AspNetCore.Docs
2015-04-01,242.0,dotnet_efcore
2015-04-01,407.0,dotnet_roslyn
2015-04-01,490.0,elastic_elasticsearch
2015-04-01,329.0,elastic_kibana
2015-04-01,452.0,electron_electron
2015-04-01,410.0,facebook_react
2015-04-01,435.0,facebook_reactnative
2015-04-01,103.0,flutter_flutter
2015-04-01,358.0,getsentry_sentry
2015-04-01,237.0,godotengine_godot
2015-04-01,465.0,golang_go
2015-04-01,428.0,gradle_gradle
2015-04-01,355.0,grafana_grafana
2015-04-01,340.0,grpc_grpc
2015-04-01,110.0,hashicorp_vault
2015-04-01,191.0,homeassistant_core
2015-04-01,38.0,homeassistant_homeassistant.io
2015-04-01,443.0,Homebrew_homebrewcask
2015-04-01,102.0,JetBrains_swot
2015-04-01,106.0,jitsi_jitsimeet
2015-04-01,350.0,jlord_patchwork
2015-04-01,227.0,joomla_joomlacms
2015-04-01,537.0,JuliaLang_julia
2015-04-01,129.0,keycloak_keycloak
2015-04-01,429.0,kubernetes_kubernetes
2015-04-01,420.0,laravel_framework
2015-04-01,268.0,magento_magento2
2015-04-01,406.0,MarlinFirmware_Marlin
2015-04-01,384.0,matplotlib_matplotlib
2015-04-01,154.0,matrixorg_synapse
2015-04-01,330.0,microsoft_TypeScript
2015-04-01,447.0,mrdoob_three.js
2015-04-01,427.0,mui_materialui
2015-04-01,360.0,neovim_neovim
2015-04-01,611.0,NixOS_nixpkgs
2015-04-01,516.0,nodejs_node
2015-04-01,231.0,obsproject_obsstudio
2015-04-01,291.0,odoo_odoo
2015-04-01,379.0,opencv_opencv
2015-04-01,79.0,openhab_openhabaddons
2015-04-01,119.0,openshift_openshiftdocs
2015-04-01,326.0,openssl_openssl
2015-04-01,465.0,pandasdev_pandas
2015-04-01,451.0,php_phpsrc
2015-04-01,363.0,postmanlabs_postmanappsupport
2015-04-01,239.0,PrestaShop_PrestaShop
2015-04-01,339.0,qbittorrent_qBittorrent
2015-04-01,334.0,qgis_QGIS
2015-04-01,52.0,qmk_qmk_firmware
2015-04-01,646.0,rails_rails
2015-04-01,166.0,rancher_rancher
2015-04-01,391.0,rapid7_metasploitframework
2015-04-01,274.0,redis_redis
2015-04-01,228.0,RPCS3_rpcs3
2015-04-01,280.0,rstudio_rstudio
2015-04-01,567.0,rustlang_rust
2015-04-01,300.0,scikitlearn_scikitlearn
2015-04-01,337.0,scipy_scipy
2015-04-01,61.0,spack_spack
2015-04-01,255.0,spyderide_spyder
2015-04-01,503.0,symfony_symfony
2015-04-01,290.0,systemd_systemd
2015-04-01,565.0,tgstation_tgstation
2015-04-01,140.0,webcompat_webbugs
2015-04-01,318.0,woocommerce_woocommerce
2015-04-01,506.0,xbmc_xbmc
2015-05-01,252.0,AdguardTeam_AdguardFilters
2015-05-01,491.0,angular_angular
2015-05-01,149.0,ankidroid_AnkiAndroid
2015-05-01,465.0,ansible_ansible
2015-05-01,152.0,antdesign_antdesign
2015-05-01,165.0,apache_flink
2015-05-01,637.0,apache_spark
2015-05-01,466.0,ArduPilot_ardupilot
2015-05-01,229.0,Automattic_jetpack
2015-05-01,165.0,Azure_azurepowershell
2015-05-01,38.0,Azure_azuresdkforjava
2015-05-01,222.0,Azure_azuresdkfornet
2015-05-01,125.0,Azure_azuresdkforpython
2015-05-01,298.0,bitcoin_bitcoin
2015-05-01,417.0,ceph_ceph
2015-05-01,497.0,CleverRaven_CataclysmDDA
2015-05-01,464.0,cmssw_cmssw
2015-05-01,345.0,cockroachdb_cockroach
2015-05-01,69.0,cypressio_cypress
2015-05-01,257.0,darktableorg_darktable
2015-05-01,244.0,DefinitelyTyped_DefinitelyTyped
2015-05-01,109.0,directus_directus
2015-05-01,523.0,dotnet_aspnetcore
2015-05-01,227.0,dotnet_AspNetCore.Docs
2015-05-01,34.0,dotnet_docs
2015-05-01,292.0,dotnet_efcore
2015-05-01,375.0,dotnet_roslyn
2015-05-01,476.0,elastic_elasticsearch
2015-05-01,355.0,elastic_kibana
2015-05-01,761.0,electron_electron
2015-05-01,380.0,facebook_react
2015-05-01,440.0,facebook_reactnative
2015-05-01,309.0,flutter_flutter
2015-05-01,20.0,gatsbyjs_gatsby
2015-05-01,57.0,getsentry_sentry
2015-05-01,554.0,godotengine_godot
2015-05-01,298.0,golang_go
2015-05-01,93.0,gradle_gradle
2015-05-01,350.0,grafana_grafana
2015-05-01,293.0,grpc_grpc
2015-05-01,374.0,hashicorp_vault
2015-05-01,312.0,homeassistant_core
2015-05-01,47.0,homeassistant_homeassistant.io
2015-05-01,518.0,Homebrew_homebrewcask
