bus_factor.Time,bus_factor,bus_factor.name
2015-01-01,2.0,AdguardTeam_AdguardFilters
2015-01-01,9.0,angular_angular
2015-01-01,3.0,ankidroid_AnkiAndroid
2015-01-01,199.0,ansible_ansible
2015-01-01,8.0,apache_flink
2015-01-01,40.0,apache_spark
2015-01-01,28.0,ArduPilot_ardupilot
2015-01-01,35.0,Automattic_jetpack
2015-01-01,19.0,Azure_azurepowershell
2015-01-01,5.0,Azure_azuresdkforjava
2015-01-01,17.0,Azure_azuresdkfornet
2015-01-01,8.0,Azure_azuresdkforpython
2015-01-01,24.0,bitcoin_bitcoin
2015-01-01,20.0,ceph_ceph
2015-01-01,18.0,CleverRaven_CataclysmDDA
2015-01-01,39.0,cmssw_cmssw
2015-01-01,3.0,cockroachdb_cockroach
2015-01-01,4.0,darktableorg_darktable
2015-01-01,76.0,DefinitelyTyped_DefinitelyTyped
2015-01-01,1.0,directus_directus
2015-01-01,76.0,dotnet_aspnetcore
2015-01-01,18.0,dotnet_efcore
2015-01-01,91.0,dotnet_roslyn
2015-01-01,84.0,elastic_elasticsearch
2015-01-01,131.0,elastic_kibana
2015-01-01,30.0,electron_electron
2015-01-01,176.0,facebook_react
2015-01-01,21.0,getsentry_sentry
2015-01-01,32.0,godotengine_godot
2015-01-01,181.0,golang_go
2015-01-01,8.0,gradle_gradle
2015-01-01,102.0,grafana_grafana
2015-01-01,6.0,homeassistant_core
2015-01-01,162.0,Homebrew_homebrewcask
2015-01-01,103.0,JetBrains_swot
2015-01-01,9.0,jitsi_jitsimeet
2015-01-01,283.0,jlord_patchwork
2015-01-01,37.0,joomla_joomlacms
2015-01-01,48.0,JuliaLang_julia
2015-01-01,6.0,keycloak_keycloak
2015-01-01,27.0,kubernetes_kubernetes
2015-01-01,117.0,laravel_framework
2015-01-01,55.0,magento_magento2
2015-01-01,46.0,MarlinFirmware_Marlin
2015-01-01,41.0,matplotlib_matplotlib
2015-01-01,2.0,matrixorg_synapse
2015-01-01,39.0,microsoft_TypeScript
2015-01-01,59.0,mrdoob_three.js
2015-01-01,24.0,mui_materialui
2015-01-01,24.0,neovim_neovim
2015-01-01,67.0,NixOS_nixpkgs
2015-01-01,104.0,nodejs_node
2015-01-01,6.0,obsproject_obsstudio
2015-01-01,88.0,odoo_odoo
2015-01-01,17.0,opencv_opencv
2015-01-01,8.0,openhab_openhabaddons
2015-01-01,8.0,openshift_openshiftdocs
2015-01-01,17.0,openssl_openssl
2015-01-01,71.0,pandasdev_pandas
2015-01-01,21.0,php_phpsrc
2015-01-01,53.0,postmanlabs_postmanappsupport
2015-01-01,25.0,PrestaShop_PrestaShop
2015-01-01,38.0,qbittorrent_qBittorrent
2015-01-01,19.0,qgis_QGIS
2015-01-01,1.0,qmk_qmk_firmware
2015-01-01,192.0,rails_rails
2015-01-01,9.0,rancher_rancher
2015-01-01,19.0,rapid7_metasploitframework
2015-01-01,81.0,redis_redis
2015-01-01,7.0,RPCS3_rpcs3
2015-01-01,2.0,rstudio_rstudio
2015-01-01,166.0,rustlang_rust
2015-01-01,21.0,scikitlearn_scikitlearn
2015-01-01,25.0,scipy_scipy
2015-01-01,2.0,spack_spack
2015-01-01,96.0,symfony_symfony
2015-01-01,30.0,tgstation_tgstation
2015-01-01,41.0,webcompat_webbugs
2015-01-01,60.0,woocommerce_woocommerce
2015-01-01,23.0,xbmc_xbmc
2015-02-01,2.0,AdguardTeam_AdguardFilters
2015-02-01,14.0,angular_angular
2015-02-01,3.0,ankidroid_AnkiAndroid
2015-02-01,214.0,ansible_ansible
2015-02-01,8.0,apache_flink
2015-02-01,32.0,apache_spark
2015-02-01,27.0,ArduPilot_ardupilot
2015-02-01,36.0,Automattic_jetpack
2015-02-01,20.0,Azure_azurepowershell
2015-02-01,5.0,Azure_azuresdkforjava
2015-02-01,13.0,Azure_azuresdkfornet
2015-02-01,7.0,Azure_azuresdkforpython
2015-02-01,29.0,bitcoin_bitcoin
2015-02-01,19.0,ceph_ceph
2015-02-01,15.0,CleverRaven_CataclysmDDA
2015-02-01,43.0,cmssw_cmssw
2015-02-01,3.0,cockroachdb_cockroach
2015-02-01,5.0,darktableorg_darktable
2015-02-01,85.0,DefinitelyTyped_DefinitelyTyped
2015-02-01,1.0,directus_directus
2015-02-01,56.0,dotnet_aspnetcore
2015-02-01,1.0,dotnet_AspNetCore.Docs
2015-02-01,12.0,dotnet_efcore
2015-02-01,34.0,dotnet_roslyn
2015-02-01,79.0,elastic_elasticsearch
2015-02-01,181.0,elastic_kibana
2015-02-01,34.0,electron_electron
2015-02-01,99.0,facebook_react
2015-02-01,35.0,getsentry_sentry
2015-02-01,29.0,godotengine_godot
2015-02-01,76.0,golang_go
2015-02-01,9.0,gradle_gradle
2015-02-01,74.0,grafana_grafana
2015-02-01,9.0,grpc_grpc
