change_requests.Time,change_requests,change_requests.name
2015-01-01,79.0,angular_angular
2015-01-01,42.0,ankidroid_AnkiAndroid
2015-01-01,98.0,ansible_ansible
2015-01-01,75.0,apache_flink
2015-01-01,433.0,apache_spark
2015-01-01,59.0,ArduPilot_ardupilot
2015-01-01,47.0,Automattic_jetpack
2015-01-01,40.0,Azure_azurepowershell
2015-01-01,1.0,Azure_azuresdkforjava
2015-01-01,46.0,Azure_azuresdkfornet
2015-01-01,2.0,Azure_azuresdkforpython
2015-01-01,94.0,bitcoin_bitcoin
2015-01-01,273.0,ceph_ceph
2015-01-01,252.0,CleverRaven_CataclysmDDA
2015-01-01,428.0,cmssw_cmssw
2015-01-01,42.0,cockroachdb_cockroach
2015-01-01,33.0,darktableorg_darktable
2015-01-01,157.0,DefinitelyTyped_DefinitelyTyped
2015-01-01,36.0,directus_directus
2015-01-01,9.0,dotnet_aspnetcore
2015-01-01,58.0,dotnet_efcore
2015-01-01,16.0,dotnet_roslyn
2015-01-01,153.0,elastic_elasticsearch
2015-01-01,113.0,elastic_kibana
2015-01-01,20.0,electron_electron
2015-01-01,108.0,facebook_react
2015-01-01,20.0,getsentry_sentry
2015-01-01,59.0,godotengine_godot
2015-01-01,2.0,golang_go
2015-01-01,13.0,gradle_gradle
2015-01-01,7.0,grafana_grafana
2015-01-01,6.0,homeassistant_core
2015-01-01,664.0,Homebrew_homebrewcask
2015-01-01,109.0,JetBrains_swot
2015-01-01,6.0,jitsi_jitsimeet
2015-01-01,355.0,jlord_patchwork
2015-01-01,188.0,joomla_joomlacms
2015-01-01,220.0,JuliaLang_julia
2015-01-01,42.0,keycloak_keycloak
2015-01-01,494.0,kubernetes_kubernetes
2015-01-01,218.0,laravel_framework
2015-01-01,46.0,magento_magento2
2015-01-01,92.0,MarlinFirmware_Marlin
2015-01-01,52.0,matplotlib_matplotlib
2015-01-01,15.0,matrixorg_synapse
2015-01-01,73.0,microsoft_TypeScript
2015-01-01,76.0,mrdoob_three.js
2015-01-01,42.0,mui_materialui
2015-01-01,80.0,neovim_neovim
2015-01-01,422.0,NixOS_nixpkgs
2015-01-01,259.0,nodejs_node
2015-01-01,29.0,obsproject_obsstudio
2015-01-01,308.0,odoo_odoo
2015-01-01,88.0,opencv_opencv
2015-01-01,13.0,openhab_openhabaddons
2015-01-01,56.0,openshift_openshiftdocs
2015-01-01,8.0,openssl_openssl
2015-01-01,72.0,pandasdev_pandas
2015-01-01,69.0,php_phpsrc
2015-01-01,1.0,postmanlabs_postmanappsupport
2015-01-01,76.0,PrestaShop_PrestaShop
2015-01-01,17.0,qbittorrent_qBittorrent
2015-01-01,125.0,qgis_QGIS
2015-01-01,2.0,qmk_qmk_firmware
2015-01-01,301.0,rails_rails
2015-01-01,6.0,rancher_rancher
2015-01-01,120.0,rapid7_metasploitframework
2015-01-01,39.0,redis_redis
2015-01-01,39.0,RPCS3_rpcs3
2015-01-01,32.0,rstudio_rstudio
2015-01-01,691.0,rustlang_rust
2015-01-01,88.0,scikitlearn_scikitlearn
2015-01-01,86.0,scipy_scipy
2015-01-01,4.0,spack_spack
2015-01-01,256.0,symfony_symfony
2015-01-01,398.0,tgstation_tgstation
2015-01-01,1.0,webcompat_webbugs
2015-01-01,70.0,woocommerce_woocommerce
2015-01-01,219.0,xbmc_xbmc
2015-02-01,179.0,angular_angular
2015-02-01,20.0,ankidroid_AnkiAndroid
2015-02-01,107.0,ansible_ansible
2015-02-01,88.0,apache_flink
2015-02-01,537.0,apache_spark
2015-02-01,39.0,ArduPilot_ardupilot
2015-02-01,54.0,Automattic_jetpack
2015-02-01,57.0,Azure_azurepowershell
2015-02-01,1.0,Azure_azuresdkforjava
2015-02-01,38.0,Azure_azuresdkfornet
2015-02-01,16.0,Azure_azuresdkforpython
2015-02-01,73.0,bitcoin_bitcoin
2015-02-01,276.0,ceph_ceph
2015-02-01,266.0,CleverRaven_CataclysmDDA
2015-02-01,491.0,cmssw_cmssw
2015-02-01,53.0,cockroachdb_cockroach
2015-02-01,32.0,darktableorg_darktable
2015-02-01,157.0,DefinitelyTyped_DefinitelyTyped
2015-02-01,45.0,directus_directus
2015-02-01,5.0,dotnet_aspnetcore
2015-02-01,98.0,dotnet_efcore
2015-02-01,282.0,dotnet_roslyn
2015-02-01,178.0,elastic_elasticsearch
2015-02-01,128.0,elastic_kibana
2015-02-01,24.0,electron_electron
2015-02-01,145.0,facebook_react
2015-02-01,10.0,getsentry_sentry
2015-02-01,38.0,godotengine_godot
2015-02-01,2.0,golang_go
2015-02-01,17.0,gradle_gradle
2015-02-01,12.0,grafana_grafana
2015-02-01,53.0,grpc_grpc
2015-02-01,12.0,homeassistant_core
2015-02-01,1.0,homeassistant_homeassistant.io
2015-02-01,365.0,Homebrew_homebrewcask
2015-02-01,92.0,JetBrains_swot
2015-02-01,6.0,jitsi_jitsimeet
2015-02-01,443.0,jlord_patchwork
2015-02-01,168.0,joomla_joomlacms
2015-02-01,172.0,JuliaLang_julia
2015-02-01,65.0,keycloak_keycloak
2015-02-01,586.0,kubernetes_kubernetes
2015-02-01,256.0,laravel_framework
2015-02-01,10.0,magento_magento2
2015-02-01,61.0,MarlinFirmware_Marlin
2015-02-01,71.0,matplotlib_matplotlib
2015-02-01,49.0,matrixorg_synapse
2015-02-01,99.0,microsoft_TypeScript
2015-02-01,59.0,mrdoob_three.js
2015-02-01,39.0,mui_materialui
2015-02-01,71.0,neovim_neovim
2015-02-01,376.0,NixOS_nixpkgs
2015-02-01,173.0,nodejs_node
2015-02-01,38.0,obsproject_obsstudio
2015-02-01,295.0,odoo_odoo
2015-02-01,108.0,opencv_opencv
2015-02-01,18.0,openhab_openhabaddons
2015-02-01,87.0,openshift_openshiftdocs
2015-02-01,6.0,openssl_openssl
2015-02-01,62.0,pandasdev_pandas
2015-02-01,89.0,php_phpsrc
2015-02-01,2.0,postmanlabs_postmanappsupport
2015-02-01,107.0,PrestaShop_PrestaShop
2015-02-01,53.0,qbittorrent_qBittorrent
2015-02-01,60.0,qgis_QGIS
2015-02-01,246.0,rails_rails
2015-02-01,8.0,rancher_rancher
2015-02-01,133.0,rapid7_metasploitframework
2015-02-01,38.0,redis_redis
2015-02-01,33.0,RPCS3_rpcs3
2015-02-01,33.0,rstudio_rstudio
2015-02-01,562.0,rustlang_rust
2015-02-01,64.0,scikitlearn_scikitlearn
2015-02-01,42.0,scipy_scipy
2015-02-01,5.0,spack_spack
2015-02-01,15.0,spyderide_spyder
2015-02-01,153.0,symfony_symfony
2015-02-01,357.0,tgstation_tgstation
2015-02-01,105.0,woocommerce_woocommerce
2015-02-01,257.0,xbmc_xbmc
2015-03-01,188.0,angular_angular
2015-03-01,44.0,ankidroid_AnkiAndroid
2015-03-01,104.0,ansible_ansible
2015-03-01,110.0,apache_flink
2015-03-01,463.0,apache_spark
2015-03-01,39.0,ArduPilot_ardupilot
2015-03-01,105.0,Automattic_jetpack
2015-03-01,77.0,Azure_azurepowershell
2015-03-01,38.0,Azure_azuresdkfornet
2015-03-01,23.0,Azure_azuresdkforpython
2015-03-01,78.0,bitcoin_bitcoin
2015-03-01,404.0,ceph_ceph
2015-03-01,282.0,CleverRaven_CataclysmDDA
2015-03-01,593.0,cmssw_cmssw
2015-03-01,144.0,cockroachdb_cockroach
2015-03-01,1.0,cypressio_cypress
2015-03-01,15.0,darktableorg_darktable
2015-03-01,205.0,DefinitelyTyped_DefinitelyTyped
2015-03-01,47.0,directus_directus
2015-03-01,17.0,dotnet_aspnetcore
2015-03-01,2.0,dotnet_AspNetCore.Docs
2015-03-01,112.0,dotnet_efcore
2015-03-01,380.0,dotnet_roslyn
2015-03-01,179.0,elastic_elasticsearch
2015-03-01,75.0,elastic_kibana
2015-03-01,48.0,electron_electron
2015-03-01,144.0,facebook_react
2015-03-01,143.0,facebook_reactnative
2015-03-01,1.0,flutter_flutter
2015-03-01,8.0,getsentry_sentry
2015-03-01,54.0,godotengine_godot
2015-03-01,2.0,golang_go
2015-03-01,17.0,gradle_gradle
2015-03-01,38.0,grafana_grafana
2015-03-01,178.0,grpc_grpc
2015-03-01,33.0,homeassistant_core
2015-03-01,1.0,homeassistant_homeassistant.io
2015-03-01,463.0,Homebrew_homebrewcask
2015-03-01,80.0,JetBrains_swot
2015-03-01,3.0,jitsi_jitsimeet
2015-03-01,456.0,jlord_patchwork
2015-03-01,252.0,joomla_joomlacms
2015-03-01,138.0,JuliaLang_julia
2015-03-01,103.0,keycloak_keycloak
2015-03-01,861.0,kubernetes_kubernetes
2015-03-01,246.0,laravel_framework
2015-03-01,14.0,magento_magento2
2015-03-01,124.0,MarlinFirmware_Marlin
2015-03-01,75.0,matplotlib_matplotlib
2015-03-01,22.0,matrixorg_synapse
2015-03-01,136.0,microsoft_TypeScript
2015-03-01,89.0,mrdoob_three.js
2015-03-01,56.0,mui_materialui
2015-03-01,97.0,neovim_neovim
2015-03-01,382.0,NixOS_nixpkgs
2015-03-01,175.0,nodejs_node
2015-03-01,19.0,obsproject_obsstudio
2015-03-01,336.0,odoo_odoo
2015-03-01,126.0,opencv_opencv
2015-03-01,22.0,openhab_openhabaddons
2015-03-01,54.0,openshift_openshiftdocs
2015-03-01,9.0,openssl_openssl
2015-03-01,81.0,pandasdev_pandas
2015-03-01,80.0,php_phpsrc
2015-03-01,1.0,postmanlabs_postmanappsupport
2015-03-01,246.0,PrestaShop_PrestaShop
2015-03-01,46.0,qbittorrent_qBittorrent
2015-03-01,38.0,qgis_QGIS
2015-03-01,5.0,qmk_qmk_firmware
2015-03-01,328.0,rails_rails
2015-03-01,15.0,rancher_rancher
2015-03-01,137.0,rapid7_metasploitframework
2015-03-01,27.0,redis_redis
2015-03-01,14.0,RPCS3_rpcs3
2015-03-01,44.0,rstudio_rstudio
2015-03-01,544.0,rustlang_rust
2015-03-01,90.0,scikitlearn_scikitlearn
2015-03-01,64.0,scipy_scipy
2015-03-01,6.0,spack_spack
2015-03-01,23.0,spyderide_spyder
2015-03-01,220.0,symfony_symfony
2015-03-01,2.0,systemd_systemd
2015-03-01,302.0,tgstation_tgstation
2015-03-01,83.0,woocommerce_woocommerce
2015-03-01,276.0,xbmc_xbmc
2015-04-01,238.0,angular_angular
2015-04-01,36.0,ankidroid_AnkiAndroid
2015-04-01,148.0,ansible_ansible
2015-04-01,87.0,apache_flink
2015-04-01,517.0,apache_spark
2015-04-01,113.0,ArduPilot_ardupilot
2015-04-01,76.0,Automattic_jetpack
2015-04-01,20.0,Azure_azurepowershell
2015-04-01,1.0,Azure_azuresdkforjava
2015-04-01,45.0,Azure_azuresdkfornet
2015-04-01,4.0,Azure_azuresdkforpython
2015-04-01,104.0,bitcoin_bitcoin
2015-04-01,277.0,ceph_ceph
2015-04-01,219.0,CleverRaven_CataclysmDDA
2015-04-01,290.0,cmssw_cmssw
2015-04-01,243.0,cockroachdb_cockroach
2015-04-01,12.0,darktableorg_darktable
2015-04-01,171.0,DefinitelyTyped_DefinitelyTyped
2015-04-01,14.0,directus_directus
2015-04-01,18.0,dotnet_aspnetcore
2015-04-01,40.0,dotnet_AspNetCore.Docs
2015-04-01,59.0,dotnet_efcore
2015-04-01,373.0,dotnet_roslyn
2015-04-01,264.0,elastic_elasticsearch
2015-04-01,77.0,elastic_kibana
2015-04-01,64.0,electron_electron
2015-04-01,122.0,facebook_react
2015-04-01,206.0,facebook_reactnative
2015-04-01,2.0,flutter_flutter
2015-04-01,14.0,getsentry_sentry
2015-04-01,28.0,godotengine_godot
2015-04-01,5.0,golang_go
2015-04-01,21.0,gradle_gradle
2015-04-01,41.0,grafana_grafana
2015-04-01,215.0,grpc_grpc
2015-04-01,35.0,hashicorp_vault
2015-04-01,24.0,homeassistant_core
2015-04-01,3.0,homeassistant_homeassistant.io
2015-04-01,543.0,Homebrew_homebrewcask
2015-04-01,102.0,JetBrains_swot
2015-04-01,1.0,jitsi_jitsimeet
2015-04-01,474.0,jlord_patchwork
2015-04-01,136.0,joomla_joomlacms
2015-04-01,165.0,JuliaLang_julia
2015-04-01,95.0,keycloak_keycloak
2015-04-01,884.0,kubernetes_kubernetes
2015-04-01,217.0,laravel_framework
2015-04-01,16.0,magento_magento2
2015-04-01,134.0,MarlinFirmware_Marlin
2015-04-01,36.0,matplotlib_matplotlib
2015-04-01,20.0,matrixorg_synapse
2015-04-01,122.0,microsoft_TypeScript
2015-04-01,71.0,mrdoob_three.js
2015-04-01,58.0,mui_materialui
2015-04-01,105.0,neovim_neovim
2015-04-01,400.0,NixOS_nixpkgs
2015-04-01,152.0,nodejs_node
2015-04-01,13.0,obsproject_obsstudio
2015-04-01,249.0,odoo_odoo
2015-04-01,83.0,opencv_opencv
2015-04-01,22.0,openhab_openhabaddons
2015-04-01,56.0,openshift_openshiftdocs
2015-04-01,8.0,openssl_openssl
2015-04-01,132.0,pandasdev_pandas
2015-04-01,44.0,php_phpsrc
