change_requests_reviews.Time,change_requests_reviews,change_requests_reviews.name
2015-01-01,229.0,angular_angular
2015-01-01,2.0,ankidroid_AnkiAndroid
2015-01-01,15.0,ansible_ansible
2015-01-01,129.0,apache_flink
2015-01-01,2500.0,apache_spark
2015-01-01,2.0,ArduPilot_ardupilot
2015-01-01,40.0,Automattic_jetpack
2015-01-01,74.0,Azure_azurepowershell
2015-01-01,17.0,Azure_azuresdkfornet
2015-01-01,123.0,bitcoin_bitcoin
2015-01-01,277.0,ceph_ceph
2015-01-01,333.0,CleverRaven_CataclysmDDA
2015-01-01,224.0,cmssw_cmssw
2015-01-01,179.0,cockroachdb_cockroach
2015-01-01,185.0,darktableorg_darktable
2015-01-01,73.0,DefinitelyTyped_DefinitelyTyped
2015-01-01,3.0,dotnet_aspnetcore
2015-01-01,163.0,dotnet_efcore
2015-01-01,16.0,dotnet_roslyn
2015-01-01,400.0,elastic_elasticsearch
2015-01-01,70.0,elastic_kibana
2015-01-01,4.0,electron_electron
2015-01-01,99.0,facebook_react
2015-01-01,2.0,getsentry_sentry
2015-01-01,5.0,gradle_gradle
2015-01-01,3.0,homeassistant_core
2015-01-01,140.0,Homebrew_homebrewcask
2015-01-01,205.0,joomla_joomlacms
2015-01-01,421.0,JuliaLang_julia
2015-01-01,1522.0,kubernetes_kubernetes
2015-01-01,242.0,laravel_framework
2015-01-01,20.0,magento_magento2
2015-01-01,14.0,MarlinFirmware_Marlin
2015-01-01,124.0,matplotlib_matplotlib
2015-01-01,56.0,matrixorg_synapse
2015-01-01,324.0,microsoft_TypeScript
2015-01-01,77.0,mrdoob_three.js
2015-01-01,1.0,mui_materialui
2015-01-01,297.0,neovim_neovim
2015-01-01,256.0,NixOS_nixpkgs
2015-01-01,10.0,obsproject_obsstudio
2015-01-01,794.0,odoo_odoo
2015-01-01,45.0,opencv_opencv
2015-01-01,57.0,openhab_openhabaddons
2015-01-01,113.0,openshift_openshiftdocs
2015-01-01,267.0,pandasdev_pandas
2015-01-01,129.0,php_phpsrc
2015-01-01,11.0,PrestaShop_PrestaShop
2015-01-01,38.0,qbittorrent_qBittorrent
2015-01-01,42.0,qgis_QGIS
2015-01-01,552.0,rails_rails
2015-01-01,10.0,rancher_rancher
2015-01-01,285.0,rapid7_metasploitframework
2015-01-01,5.0,redis_redis
2015-01-01,7.0,RPCS3_rpcs3
2015-01-01,28.0,rstudio_rstudio
2015-01-01,1102.0,rustlang_rust
2015-01-01,965.0,scikitlearn_scikitlearn
2015-01-01,186.0,scipy_scipy
2015-01-01,818.0,symfony_symfony
2015-01-01,638.0,tgstation_tgstation
2015-01-01,314.0,xbmc_xbmc
2015-02-01,339.0,angular_angular
2015-02-01,42.0,ankidroid_AnkiAndroid
2015-02-01,26.0,ansible_ansible
2015-02-01,136.0,apache_flink
2015-02-01,2344.0,apache_spark
2015-02-01,38.0,Automattic_jetpack
2015-02-01,76.0,Azure_azurepowershell
2015-02-01,28.0,Azure_azuresdkfornet
2015-02-01,14.0,Azure_azuresdkforpython
2015-02-01,110.0,bitcoin_bitcoin
2015-02-01,135.0,ceph_ceph
2015-02-01,334.0,CleverRaven_CataclysmDDA
2015-02-01,213.0,cmssw_cmssw
2015-02-01,121.0,cockroachdb_cockroach
2015-02-01,9.0,darktableorg_darktable
2015-02-01,23.0,DefinitelyTyped_DefinitelyTyped
2015-02-01,321.0,dotnet_efcore
2015-02-01,1235.0,dotnet_roslyn
2015-02-01,480.0,elastic_elasticsearch
2015-02-01,99.0,elastic_kibana
2015-02-01,13.0,electron_electron
2015-02-01,196.0,facebook_react
2015-02-01,3.0,getsentry_sentry
2015-02-01,3.0,godotengine_godot
2015-02-01,13.0,gradle_gradle
2015-02-01,34.0,grpc_grpc
2015-02-01,1.0,homeassistant_core
2015-02-01,70.0,Homebrew_homebrewcask
2015-02-01,2.0,jitsi_jitsimeet
2015-02-01,138.0,joomla_joomlacms
