issue_response_time.Time,issue_response_time,issue_response_time.name
2015-01-01,1.67,AdguardTeam_AdguardFilters
2015-01-01,68.91,angular_angular
2015-01-01,59.26,ansible_ansible
2015-01-01,295.88,ArduPilot_ardupilot
2015-01-01,213.36,Automattic_jetpack
2015-01-01,49.83,Azure_azurepowershell
2015-01-01,235.5,Azure_azuresdkforjava
2015-01-01,222.82,Azure_azuresdkfornet
2015-01-01,12.33,Azure_azuresdkforpython
2015-01-01,16.64,bitcoin_bitcoin
2015-01-01,57.14,CleverRaven_CataclysmDDA
2015-01-01,0.7,cmssw_cmssw
2015-01-01,10.89,cockroachdb_cockroach
2015-01-01,1160.43,DefinitelyTyped_DefinitelyTyped
2015-01-01,141.73,directus_directus
2015-01-01,1.37,dotnet_aspnetcore
2015-01-01,65.31,dotnet_efcore
2015-01-01,79.7,dotnet_roslyn
2015-01-01,227.4,elastic_elasticsearch
2015-01-01,224.95,elastic_kibana
2015-01-01,75.27,electron_electron
2015-01-01,16.84,facebook_react
2015-01-01,33.0,getsentry_sentry
2015-01-01,1028.04,godotengine_godot
2015-01-01,62.86,golang_go
2015-01-01,49.89,grafana_grafana
2015-01-01,0.0,homeassistant_core
2015-01-01,35.76,Homebrew_homebrewcask
2015-01-01,713.17,jitsi_jitsimeet
2015-01-01,11.0,jlord_patchwork
2015-01-01,16.53,joomla_joomlacms
2015-01-01,38.65,JuliaLang_julia
2015-01-01,143.8,kubernetes_kubernetes
2015-01-01,2.54,laravel_framework
2015-01-01,4.04,magento_magento2
2015-01-01,4.16,MarlinFirmware_Marlin
2015-01-01,71.15,matplotlib_matplotlib
2015-01-01,0.0,matrixorg_synapse
2015-01-01,81.12,microsoft_TypeScript
2015-01-01,10.79,mrdoob_three.js
2015-01-01,19.9,mui_materialui
2015-01-01,41.19,neovim_neovim
2015-01-01,39.64,NixOS_nixpkgs
2015-01-01,0.92,nodejs_node
2015-01-01,335.75,odoo_odoo
2015-01-01,105.93,openhab_openhabaddons
2015-01-01,23.0,openssl_openssl
2015-01-01,74.08,pandasdev_pandas
2015-01-01,393.31,postmanlabs_postmanappsupport
2015-01-01,72.98,qbittorrent_qBittorrent
2015-01-01,2.63,rails_rails
2015-01-01,68.6,rancher_rancher
2015-01-01,159.66,rapid7_metasploitframework
2015-01-01,462.75,redis_redis
2015-01-01,602.6,RPCS3_rpcs3
2015-01-01,152.69,rustlang_rust
2015-01-01,3.12,scikitlearn_scikitlearn
2015-01-01,17.92,scipy_scipy
2015-01-01,3.0,spack_spack
2015-01-01,10.01,symfony_symfony
2015-01-01,85.39,tgstation_tgstation
2015-01-01,15.1,webcompat_webbugs
2015-01-01,22.72,woocommerce_woocommerce
2015-01-01,0.0,xbmc_xbmc
2015-02-01,2.18,AdguardTeam_AdguardFilters
2015-02-01,53.59,angular_angular
2015-02-01,62.51,ansible_ansible
2015-02-01,658.7,ArduPilot_ardupilot
2015-02-01,216.01,Automattic_jetpack
2015-02-01,74.71,Azure_azurepowershell
2015-02-01,234.0,Azure_azuresdkforjava
2015-02-01,233.8,Azure_azuresdkfornet
2015-02-01,43.64,Azure_azuresdkforpython
2015-02-01,167.65,bitcoin_bitcoin
2015-02-01,63.77,CleverRaven_CataclysmDDA
2015-02-01,9.05,cmssw_cmssw
2015-02-01,1.1,cockroachdb_cockroach
2015-02-01,1113.91,DefinitelyTyped_DefinitelyTyped
2015-02-01,706.69,directus_directus
2015-02-01,43.95,dotnet_aspnetcore
2015-02-01,239.0,dotnet_AspNetCore.Docs
2015-02-01,91.13,dotnet_efcore
2015-02-01,252.07,dotnet_roslyn
2015-02-01,549.31,elastic_elasticsearch
2015-02-01,399.88,elastic_kibana
2015-02-01,6.98,electron_electron
2015-02-01,9.27,facebook_react
2015-02-01,38.14,getsentry_sentry
2015-02-01,944.18,godotengine_godot
2015-02-01,55.16,golang_go
2015-02-01,27.45,grafana_grafana
2015-02-01,38.83,grpc_grpc
2015-02-01,1.8,homeassistant_core
2015-02-01,2.54,Homebrew_homebrewcask
2015-02-01,12.5,jitsi_jitsimeet
2015-02-01,11.71,joomla_joomlacms
2015-02-01,17.86,JuliaLang_julia
2015-02-01,131.68,kubernetes_kubernetes
2015-02-01,4.03,laravel_framework
2015-02-01,15.3,magento_magento2
2015-02-01,1.0,MarlinFirmware_Marlin
2015-02-01,29.45,matplotlib_matplotlib
2015-02-01,68.0,matrixorg_synapse
2015-02-01,77.67,microsoft_TypeScript
2015-02-01,39.07,mrdoob_three.js
2015-02-01,25.26,mui_materialui
2015-02-01,56.04,neovim_neovim
2015-02-01,67.17,NixOS_nixpkgs
2015-02-01,6.14,nodejs_node
2015-02-01,349.12,odoo_odoo
2015-02-01,16.38,openhab_openhabaddons
2015-02-01,250.0,openshift_openshiftdocs
2015-02-01,86.67,openssl_openssl
2015-02-01,120.59,pandasdev_pandas
2015-02-01,662.39,postmanlabs_postmanappsupport
2015-02-01,105.14,qbittorrent_qBittorrent
2015-02-01,2.54,rails_rails
2015-02-01,36.19,rancher_rancher
2015-02-01,143.3,rapid7_metasploitframework
2015-02-01,73.52,redis_redis
2015-02-01,1.0,RPCS3_rpcs3
2015-02-01,157.36,rustlang_rust
2015-02-01,62.87,scikitlearn_scikitlearn
2015-02-01,385.36,scipy_scipy
2015-02-01,630.08,spyderide_spyder
2015-02-01,38.76,symfony_symfony
2015-02-01,54.64,tgstation_tgstation
