issues_and_change_request_active.Time,issues_and_change_request_active,issues_and_change_request_active.name
2015-01-01,81.0,AdguardTeam_AdguardFilters
2015-01-01,204.0,angular_angular
2015-01-01,45.0,ankidroid_AnkiAndroid
2015-01-01,375.0,ansible_ansible
2015-01-01,99.0,apache_flink
2015-01-01,628.0,apache_spark
2015-01-01,184.0,ArduPilot_ardupilot
2015-01-01,203.0,Automattic_jetpack
2015-01-01,65.0,Azure_azurepowershell
2015-01-01,8.0,Azure_azuresdkforjava
2015-01-01,63.0,Azure_azuresdkfornet
2015-01-01,11.0,Azure_azuresdkforpython
2015-01-01,265.0,bitcoin_bitcoin
2015-01-01,351.0,ceph_ceph
2015-01-01,447.0,CleverRaven_CataclysmDDA
2015-01-01,558.0,cmssw_cmssw
2015-01-01,58.0,cockroachdb_cockroach
2015-01-01,39.0,darktableorg_darktable
2015-01-01,209.0,DefinitelyTyped_DefinitelyTyped
2015-01-01,82.0,directus_directus
2015-01-01,75.0,dotnet_aspnetcore
2015-01-01,269.0,dotnet_efcore
2015-01-01,190.0,dotnet_roslyn
2015-01-01,577.0,elastic_elasticsearch
2015-01-01,474.0,elastic_kibana
2015-01-01,153.0,electron_electron
2015-01-01,315.0,facebook_react
2015-01-01,75.0,getsentry_sentry
2015-01-01,328.0,godotengine_godot
2015-01-01,413.0,golang_go
2015-01-01,21.0,gradle_gradle
2015-01-01,190.0,grafana_grafana
2015-01-01,10.0,homeassistant_core
2015-01-01,853.0,Homebrew_homebrewcask
2015-01-01,121.0,JetBrains_swot
2015-01-01,17.0,jitsi_jitsimeet
2015-01-01,364.0,jlord_patchwork
2015-01-01,540.0,joomla_joomlacms
2015-01-01,677.0,JuliaLang_julia
2015-01-01,42.0,keycloak_keycloak
2015-01-01,1042.0,kubernetes_kubernetes
2015-01-01,504.0,laravel_framework
2015-01-01,305.0,magento_magento2
2015-01-01,203.0,MarlinFirmware_Marlin
2015-01-01,154.0,matplotlib_matplotlib
2015-01-01,17.0,matrixorg_synapse
2015-01-01,409.0,microsoft_TypeScript
2015-01-01,237.0,mrdoob_three.js
2015-01-01,131.0,mui_materialui
2015-01-01,224.0,neovim_neovim
2015-01-01,723.0,NixOS_nixpkgs
2015-01-01,523.0,nodejs_node
2015-01-01,31.0,obsproject_obsstudio
2015-01-01,838.0,odoo_odoo
2015-01-01,112.0,opencv_opencv
2015-01-01,39.0,openhab_openhabaddons
2015-01-01,56.0,openshift_openshiftdocs
2015-01-01,21.0,openssl_openssl
2015-01-01,365.0,pandasdev_pandas
2015-01-01,99.0,php_phpsrc
2015-01-01,77.0,postmanlabs_postmanappsupport
2015-01-01,83.0,PrestaShop_PrestaShop
2015-01-01,187.0,qbittorrent_qBittorrent
2015-01-01,139.0,qgis_QGIS
2015-01-01,2.0,qmk_qmk_firmware
2015-01-01,771.0,rails_rails
2015-01-01,52.0,rancher_rancher
2015-01-01,278.0,rapid7_metasploitframework
2015-01-01,139.0,redis_redis
2015-01-01,44.0,RPCS3_rpcs3
2015-01-01,34.0,rstudio_rstudio
