openrank.Time,openrank.name,openrank
2015-01-01,AdguardTeam_AdguardFilters,2.07
2015-01-01,angular_angular,16.39
2015-01-01,ankidroid_AnkiAndroid,4.24
2015-01-01,ansible_ansible,85.24
2015-01-01,apache_flink,12.5
2015-01-01,apache_spark,103.95
2015-01-01,ArduPilot_ardupilot,38.07
2015-01-01,Automattic_jetpack,37.82
2015-01-01,Azure_azurepowershell,17.45
2015-01-01,Azure_azuresdkforjava,1.88
2015-01-01,Azure_azuresdkfornet,10.58
2015-01-01,Azure_azuresdkforpython,4.04
2015-01-01,bitcoin_bitcoin,34.29
2015-01-01,ceph_ceph,43.68
2015-01-01,CleverRaven_CataclysmDDA,52.61
2015-01-01,cmssw_cmssw,71.69
2015-01-01,cockroachdb_cockroach,7.71
2015-01-01,darktableorg_darktable,9.53
2015-01-01,DefinitelyTyped_DefinitelyTyped,45.86
2015-01-01,directus_directus,1.52
2015-01-01,dotnet_aspnetcore,28.61
2015-01-01,dotnet_efcore,22.7
2015-01-01,dotnet_roslyn,70.93
2015-01-01,elastic_elasticsearch,121.01
2015-01-01,elastic_kibana,83.84
2015-01-01,electron_electron,22.36
2015-01-01,facebook_react,57.23
2015-01-01,getsentry_sentry,14.23
2015-01-01,godotengine_godot,55.55
2015-01-01,golang_go,61.8
2015-01-01,gradle_gradle,6.63
2015-01-01,grafana_grafana,53.44
2015-01-01,homeassistant_core,3.24
2015-01-01,Homebrew_homebrewcask,107.27
2015-01-01,JetBrains_swot,52.35
2015-01-01,jitsi_jitsimeet,4.18
2015-01-01,jlord_patchwork,147.48
2015-01-01,joomla_joomlacms,77.75
2015-01-01,JuliaLang_julia,73.68
2015-01-01,keycloak_keycloak,3.98
2015-01-01,kubernetes_kubernetes,66.69
2015-01-01,laravel_framework,118.94
2015-01-01,magento_magento2,56.14
2015-01-01,MarlinFirmware_Marlin,55.16
2015-01-01,matplotlib_matplotlib,27.67
2015-01-01,matrixorg_synapse,2.3
2015-01-01,microsoft_TypeScript,67.79
2015-01-01,mrdoob_three.js,62.47
2015-01-01,mui_materialui,23.63
2015-01-01,neovim_neovim,44.46
2015-01-01,NixOS_nixpkgs,91.55
2015-01-01,nodejs_node,86.38
2015-01-01,obsproject_obsstudio,8.53
2015-01-01,odoo_odoo,135.07
2015-01-01,opencv_opencv,23.54
2015-01-01,openhab_openhabaddons,7.04
2015-01-01,openshift_openshiftdocs,4.74
2015-01-01,openssl_openssl,7.04
2015-01-01,pandasdev_pandas,61.0
2015-01-01,php_phpsrc,20.48
2015-01-01,postmanlabs_postmanappsupport,32.71
2015-01-01,PrestaShop_PrestaShop,20.16
2015-01-01,qbittorrent_qBittorrent,61.41
2015-01-01,qgis_QGIS,17.19
2015-01-01,qmk_qmk_firmware,1.44
2015-01-01,rails_rails,156.58
2015-01-01,rancher_rancher,4.89
2015-01-01,rapid7_metasploitframework,47.93
2015-01-01,redis_redis,35.2
2015-01-01,RPCS3_rpcs3,7.62
2015-01-01,rstudio_rstudio,3.52
2015-01-01,rustlang_rust,180.97
2015-01-01,scikitlearn_scikitlearn,44.54
2015-01-01,scipy_scipy,29.64
2015-01-01,spack_spack,2.52
2015-01-01,symfony_symfony,88.96
2015-01-01,tgstation_tgstation,82.15
2015-01-01,webcompat_webbugs,19.46
2015-01-01,woocommerce_woocommerce,82.04
2015-01-01,xbmc_xbmc,57.69
2015-02-01,AdguardTeam_AdguardFilters,2.78
2015-02-01,angular_angular,40.73
2015-02-01,ankidroid_AnkiAndroid,6.7
2015-02-01,ansible_ansible,122.31
2015-02-01,apache_flink,18.32
2015-02-01,apache_spark,149.46
2015-02-01,ArduPilot_ardupilot,46.24
2015-02-01,Automattic_jetpack,48.72
2015-02-01,Azure_azurepowershell,24.77
2015-02-01,Azure_azuresdkforjava,2.43
2015-02-01,Azure_azuresdkfornet,13.75
2015-02-01,Azure_azuresdkforpython,8.58
2015-02-01,bitcoin_bitcoin,54.05
2015-02-01,ceph_ceph,57.43
2015-02-01,CleverRaven_CataclysmDDA,64.44
2015-02-01,cmssw_cmssw,101.29
2015-02-01,cockroachdb_cockroach,10.54
2015-02-01,darktableorg_darktable,10.8
2015-02-01,DefinitelyTyped_DefinitelyTyped,68.35
2015-02-01,directus_directus,2.3
2015-02-01,dotnet_aspnetcore,24.93
2015-02-01,dotnet_AspNetCore.Docs,0.31
2015-02-01,dotnet_efcore,34.7
2015-02-01,dotnet_roslyn,114.28
2015-02-01,elastic_elasticsearch,175.34
2015-02-01,elastic_kibana,146.83
2015-02-01,electron_electron,35.82
2015-02-01,facebook_react,104.99
2015-02-01,getsentry_sentry,17.42
2015-02-01,godotengine_godot,66.78
2015-02-01,golang_go,97.96
2015-02-01,gradle_gradle,9.78
2015-02-01,grafana_grafana,65.15
2015-02-01,grpc_grpc,7.61
2015-02-01,homeassistant_core,7.06
2015-02-01,homeassistant_homeassistant.io,0.43
2015-02-01,Homebrew_homebrewcask,146.4
2015-02-01,JetBrains_swot,88.75
2015-02-01,jitsi_jitsimeet,8.26
2015-02-01,jlord_patchwork,243.72
2015-02-01,joomla_joomlacms,139.1
2015-02-01,JuliaLang_julia,104.44
2015-02-01,keycloak_keycloak,5.92
2015-02-01,kubernetes_kubernetes,106.74
2015-02-01,laravel_framework,192.89
2015-02-01,magento_magento2,61.92
2015-02-01,MarlinFirmware_Marlin,59.9
2015-02-01,matplotlib_matplotlib,44.05
2015-02-01,matrixorg_synapse,6.99
2015-02-01,microsoft_TypeScript,98.82
2015-02-01,mrdoob_three.js,82.97
2015-02-01,mui_materialui,29.45
2015-02-01,neovim_neovim,69.37
2015-02-01,NixOS_nixpkgs,132.2
2015-02-01,nodejs_node,141.41
2015-02-01,obsproject_obsstudio,12.62
2015-02-01,odoo_odoo,191.65
2015-02-01,opencv_opencv,32.74
2015-02-01,openhab_openhabaddons,9.57
2015-02-01,openshift_openshiftdocs,6.69
2015-02-01,openssl_openssl,10.16
2015-02-01,pandasdev_pandas,80.35
2015-02-01,php_phpsrc,38.89
2015-02-01,postmanlabs_postmanappsupport,35.58
2015-02-01,PrestaShop_PrestaShop,31.29
2015-02-01,qbittorrent_qBittorrent,88.88
2015-02-01,qgis_QGIS,19.25
2015-02-01,qmk_qmk_firmware,1.23
2015-02-01,rails_rails,229.36
2015-02-01,rancher_rancher,9.09
2015-02-01,rapid7_metasploitframework,61.85
2015-02-01,redis_redis,41.76
2015-02-01,RPCS3_rpcs3,10.03
2015-02-01,rstudio_rstudio,6.95
2015-02-01,rustlang_rust,239.17
2015-02-01,scikitlearn_scikitlearn,62.86
2015-02-01,scipy_scipy,36.94
2015-02-01,spack_spack,2.73
2015-02-01,spyderide_spyder,14.33
2015-02-01,symfony_symfony,117.94
2015-02-01,tgstation_tgstation,100.11
2015-02-01,webcompat_webbugs,23.16
2015-02-01,woocommerce_woocommerce,123.55
2015-02-01,xbmc_xbmc,87.12
2015-03-01,AdguardTeam_AdguardFilters,3.93
2015-03-01,angular_angular,72.87
2015-03-01,ankidroid_AnkiAndroid,9.86
2015-03-01,ansible_ansible,133.91
2015-03-01,apache_flink,27.18
2015-03-01,apache_spark,201.52
2015-03-01,ArduPilot_ardupilot,61.35
2015-03-01,Automattic_jetpack,64.87
2015-03-01,Azure_azurepowershell,38.7
2015-03-01,Azure_azuresdkforjava,2.82
2015-03-01,Azure_azuresdkfornet,21.18
2015-03-01,Azure_azuresdkforpython,11.67
2015-03-01,bitcoin_bitcoin,67.2
2015-03-01,ceph_ceph,76.1
2015-03-01,CleverRaven_CataclysmDDA,88.73
2015-03-01,cmssw_cmssw,138.0
2015-03-01,cockroachdb_cockroach,19.51
2015-03-01,cypressio_cypress,1.49
2015-03-01,darktableorg_darktable,9.96
2015-03-01,DefinitelyTyped_DefinitelyTyped,105.25
2015-03-01,directus_directus,5.47
2015-03-01,dotnet_aspnetcore,36.97
2015-03-01,dotnet_AspNetCore.Docs,0.89
2015-03-01,dotnet_efcore,40.34
2015-03-01,dotnet_roslyn,146.05
