participants.Time,participants.name,participants
2015-01-01,AdguardTeam_AdguardFilters,3.0
2015-01-01,angular_angular,56.0
2015-01-01,ankidroid_AnkiAndroid,8.0
2015-01-01,ansible_ansible,301.0
2015-01-01,apache_flink,32.0
2015-01-01,apache_spark,218.0
2015-01-01,ArduPilot_ardupilot,92.0
2015-01-01,Automattic_jetpack,92.0
2015-01-01,Azure_azurepowershell,47.0
2015-01-01,Azure_azuresdkforjava,8.0
2015-01-01,Azure_azuresdkfornet,35.0
2015-01-01,Azure_azuresdkforpython,10.0
2015-01-01,bitcoin_bitcoin,96.0
2015-01-01,ceph_ceph,80.0
2015-01-01,CleverRaven_CataclysmDDA,99.0
2015-01-01,cmssw_cmssw,137.0
2015-01-01,cockroachdb_cockroach,15.0
2015-01-01,darktableorg_darktable,17.0
2015-01-01,DefinitelyTyped_DefinitelyTyped,135.0
2015-01-01,directus_directus,2.0
2015-01-01,dotnet_aspnetcore,132.0
2015-01-01,dotnet_efcore,72.0
2015-01-01,dotnet_roslyn,224.0
2015-01-01,elastic_elasticsearch,319.0
2015-01-01,elastic_kibana,215.0
2015-01-01,electron_electron,94.0
2015-01-01,facebook_react,231.0
2015-01-01,getsentry_sentry,57.0
2015-01-01,godotengine_godot,119.0
2015-01-01,golang_go,241.0
2015-01-01,gradle_gradle,18.0
2015-01-01,grafana_grafana,157.0
2015-01-01,homeassistant_core,7.0
2015-01-01,Homebrew_homebrewcask,306.0
2015-01-01,JetBrains_swot,113.0
2015-01-01,jitsi_jitsimeet,14.0
2015-01-01,jlord_patchwork,299.0
2015-01-01,joomla_joomlacms,175.0
2015-01-01,JuliaLang_julia,196.0
2015-01-01,keycloak_keycloak,9.0
2015-01-01,kubernetes_kubernetes,181.0
2015-01-01,laravel_framework,349.0
2015-01-01,magento_magento2,143.0
2015-01-01,MarlinFirmware_Marlin,116.0
2015-01-01,matplotlib_matplotlib,85.0
2015-01-01,matrixorg_synapse,7.0
2015-01-01,microsoft_TypeScript,195.0
2015-01-01,mrdoob_three.js,149.0
2015-01-01,mui_materialui,74.0
2015-01-01,neovim_neovim,133.0
2015-01-01,NixOS_nixpkgs,205.0
2015-01-01,nodejs_node,372.0
2015-01-01,obsproject_obsstudio,18.0
2015-01-01,odoo_odoo,334.0
2015-01-01,opencv_opencv,50.0
2015-01-01,openhab_openhabaddons,19.0
2015-01-01,openshift_openshiftdocs,24.0
2015-01-01,openssl_openssl,22.0
2015-01-01,pandasdev_pandas,175.0
2015-01-01,php_phpsrc,72.0
2015-01-01,postmanlabs_postmanappsupport,89.0
2015-01-01,PrestaShop_PrestaShop,42.0
2015-01-01,qbittorrent_qBittorrent,139.0
2015-01-01,qgis_QGIS,43.0
2015-01-01,qmk_qmk_firmware,2.0
2015-01-01,rails_rails,523.0
2015-01-01,rancher_rancher,23.0
2015-01-01,rapid7_metasploitframework,97.0
2015-01-01,redis_redis,104.0
2015-01-01,RPCS3_rpcs3,19.0
2015-01-01,rstudio_rstudio,5.0
2015-01-01,rustlang_rust,592.0
2015-01-01,scikitlearn_scikitlearn,114.0
2015-01-01,scipy_scipy,91.0
2015-01-01,spack_spack,4.0
2015-01-01,symfony_symfony,303.0
2015-01-01,tgstation_tgstation,165.0
2015-01-01,webcompat_webbugs,58.0
2015-01-01,woocommerce_woocommerce,187.0
2015-01-01,xbmc_xbmc,125.0
2015-02-01,AdguardTeam_AdguardFilters,4.0
2015-02-01,angular_angular,83.0
2015-02-01,ankidroid_AnkiAndroid,9.0
2015-02-01,ansible_ansible,306.0
2015-02-01,apache_flink,29.0
2015-02-01,apache_spark,219.0
2015-02-01,ArduPilot_ardupilot,81.0
2015-02-01,Automattic_jetpack,86.0
2015-02-01,Azure_azurepowershell,52.0
2015-02-01,Azure_azuresdkforjava,9.0
2015-02-01,Azure_azuresdkfornet,35.0
2015-02-01,Azure_azuresdkforpython,19.0
2015-02-01,bitcoin_bitcoin,121.0
2015-02-01,ceph_ceph,68.0
2015-02-01,CleverRaven_CataclysmDDA,78.0
2015-02-01,cmssw_cmssw,157.0
2015-02-01,cockroachdb_cockroach,14.0
2015-02-01,darktableorg_darktable,17.0
2015-02-01,DefinitelyTyped_DefinitelyTyped,164.0
2015-02-01,directus_directus,4.0
2015-02-01,dotnet_aspnetcore,80.0
2015-02-01,dotnet_AspNetCore.Docs,1.0
2015-02-01,dotnet_efcore,78.0
2015-02-01,dotnet_roslyn,228.0
2015-02-01,elastic_elasticsearch,315.0
2015-02-01,elastic_kibana,320.0
2015-02-01,electron_electron,101.0
2015-02-01,facebook_react,333.0
2015-02-01,getsentry_sentry,45.0
2015-02-01,godotengine_godot,91.0
2015-02-01,golang_go,266.0
2015-02-01,gradle_gradle,29.0
2015-02-01,grafana_grafana,129.0
2015-02-01,grpc_grpc,32.0
2015-02-01,homeassistant_core,13.0
2015-02-01,homeassistant_homeassistant.io,1.0
2015-02-01,Homebrew_homebrewcask,271.0
2015-02-01,JetBrains_swot,108.0
2015-02-01,jitsi_jitsimeet,21.0
2015-02-01,jlord_patchwork,396.0
2015-02-01,joomla_joomlacms,241.0
2015-02-01,JuliaLang_julia,159.0
2015-02-01,keycloak_keycloak,10.0
2015-02-01,kubernetes_kubernetes,204.0
2015-02-01,laravel_framework,450.0
2015-02-01,magento_magento2,100.0
2015-02-01,MarlinFirmware_Marlin,77.0
2015-02-01,matplotlib_matplotlib,107.0
2015-02-01,matrixorg_synapse,12.0
2015-02-01,microsoft_TypeScript,208.0
2015-02-01,mrdoob_three.js,139.0
2015-02-01,mui_materialui,81.0
2015-02-01,neovim_neovim,152.0
2015-02-01,NixOS_nixpkgs,228.0
2015-02-01,nodejs_node,353.0
2015-02-01,obsproject_obsstudio,24.0
2015-02-01,odoo_odoo,350.0
2015-02-01,opencv_opencv,47.0
2015-02-01,openhab_openhabaddons,15.0
2015-02-01,openshift_openshiftdocs,31.0
2015-02-01,openssl_openssl,26.0
2015-02-01,pandasdev_pandas,143.0
2015-02-01,php_phpsrc,85.0
2015-02-01,postmanlabs_postmanappsupport,64.0
2015-02-01,PrestaShop_PrestaShop,51.0
2015-02-01,qbittorrent_qBittorrent,129.0
2015-02-01,qgis_QGIS,35.0
2015-02-01,rails_rails,470.0
2015-02-01,rancher_rancher,33.0
