technical_fork.Time,technical_fork,technical_fork.name
2015-01-01,89.0,angular_angular
2015-01-01,6.0,ankidroid_AnkiAndroid
2015-01-01,122.0,ansible_ansible
2015-01-01,42.0,apache_flink
2015-01-01,261.0,apache_spark
2015-01-01,152.0,ArduPilot_ardupilot
2015-01-01,16.0,Automattic_jetpack
2015-01-01,25.0,Azure_azurepowershell
2015-01-01,7.0,Azure_azuresdkforjava
2015-01-01,21.0,Azure_azuresdkfornet
2015-01-01,4.0,Azure_azuresdkforpython
2015-01-01,108.0,bitcoin_bitcoin
2015-01-01,51.0,ceph_ceph
2015-01-01,35.0,CleverRaven_CataclysmDDA
2015-01-01,67.0,cmssw_cmssw
2015-01-01,20.0,cockroachdb_cockroach
2015-01-01,12.0,darktableorg_darktable
2015-01-01,147.0,DefinitelyTyped_DefinitelyTyped
2015-01-01,1.0,directus_directus
2015-01-01,48.0,dotnet_aspnetcore
2015-01-01,53.0,dotnet_efcore
2015-01-01,131.0,dotnet_roslyn
2015-01-01,158.0,elastic_elasticsearch
2015-01-01,74.0,elastic_kibana
2015-01-01,59.0,electron_electron
2015-01-01,227.0,facebook_react
2015-01-01,26.0,getsentry_sentry
2015-01-01,113.0,godotengine_godot
2015-01-01,119.0,golang_go
2015-01-01,34.0,gradle_gradle
2015-01-01,49.0,grafana_grafana
2015-01-01,15.0,homeassistant_core
2015-01-01,175.0,Homebrew_homebrewcask
2015-01-01,112.0,JetBrains_swot
2015-01-01,9.0,jitsi_jitsimeet
2015-01-01,419.0,jlord_patchwork
2015-01-01,61.0,joomla_joomlacms
2015-01-01,76.0,JuliaLang_julia
2015-01-01,16.0,keycloak_keycloak
2015-01-01,152.0,kubernetes_kubernetes
2015-01-01,179.0,laravel_framework
2015-01-01,100.0,magento_magento2
2015-01-01,120.0,MarlinFirmware_Marlin
2015-01-01,61.0,matplotlib_matplotlib
2015-01-01,1.0,matrixorg_synapse
2015-01-01,53.0,microsoft_TypeScript
2015-01-01,228.0,mrdoob_three.js
2015-01-01,100.0,mui_materialui
2015-01-01,54.0,neovim_neovim
2015-01-01,76.0,NixOS_nixpkgs
2015-01-01,258.0,nodejs_node
2015-01-01,29.0,obsproject_obsstudio
2015-01-01,183.0,odoo_odoo
2015-01-01,241.0,opencv_opencv
2015-01-01,47.0,openhab_openhabaddons
2015-01-01,35.0,openshift_openshiftdocs
2015-01-01,50.0,openssl_openssl
2015-01-01,74.0,pandasdev_pandas
2015-01-01,103.0,php_phpsrc
2015-01-01,12.0,postmanlabs_postmanappsupport
2015-01-01,61.0,PrestaShop_PrestaShop
2015-01-01,11.0,qbittorrent_qBittorrent
2015-01-01,21.0,qgis_QGIS
2015-01-01,7.0,qmk_qmk_firmware
2015-01-01,341.0,rails_rails
2015-01-01,6.0,rancher_rancher
2015-01-01,119.0,rapid7_metasploitframework
2015-01-01,154.0,redis_redis
2015-01-01,16.0,RPCS3_rpcs3
2015-01-01,6.0,rstudio_rstudio
2015-01-01,247.0,rustlang_rust
2015-01-01,209.0,scikitlearn_scikitlearn
2015-01-01,32.0,scipy_scipy
2015-01-01,2.0,spack_spack
2015-01-01,108.0,symfony_symfony
2015-01-01,58.0,tgstation_tgstation
2015-01-01,4.0,webcompat_webbugs
2015-01-01,53.0,woocommerce_woocommerce
2015-01-01,106.0,xbmc_xbmc
2015-02-01,102.0,angular_angular
2015-02-01,21.0,ankidroid_AnkiAndroid
2015-02-01,144.0,ansible_ansible
2015-02-01,28.0,apache_flink
2015-02-01,265.0,apache_spark
2015-02-01,163.0,ArduPilot_ardupilot
2015-02-01,18.0,Automattic_jetpack
2015-02-01,28.0,Azure_azurepowershell
2015-02-01,3.0,Azure_azuresdkforjava
2015-02-01,17.0,Azure_azuresdkfornet
2015-02-01,15.0,Azure_azuresdkforpython
2015-02-01,106.0,bitcoin_bitcoin
2015-02-01,31.0,ceph_ceph
2015-02-01,30.0,CleverRaven_CataclysmDDA
2015-02-01,55.0,cmssw_cmssw
2015-02-01,21.0,cockroachdb_cockroach
2015-02-01,12.0,darktableorg_darktable
2015-02-01,114.0,DefinitelyTyped_DefinitelyTyped
2015-02-01,60.0,dotnet_aspnetcore
2015-02-01,1.0,dotnet_AspNetCore.Docs
2015-02-01,45.0,dotnet_efcore
2015-02-01,159.0,dotnet_roslyn
2015-02-01,146.0,elastic_elasticsearch
2015-02-01,70.0,elastic_kibana
2015-02-01,50.0,electron_electron
2015-02-01,348.0,facebook_react
2015-02-01,17.0,getsentry_sentry
2015-02-01,75.0,godotengine_godot
2015-02-01,92.0,golang_go
2015-02-01,31.0,gradle_gradle
2015-02-01,60.0,grafana_grafana
2015-02-01,114.0,grpc_grpc
2015-02-01,11.0,homeassistant_core
2015-02-01,1.0,homeassistant_homeassistant.io
2015-02-01,156.0,Homebrew_homebrewcask
2015-02-01,94.0,JetBrains_swot
2015-02-01,10.0,jitsi_jitsimeet
2015-02-01,528.0,jlord_patchwork
2015-02-01,80.0,joomla_joomlacms
2015-02-01,48.0,JuliaLang_julia
2015-02-01,11.0,keycloak_keycloak
2015-02-01,158.0,kubernetes_kubernetes
2015-02-01,227.0,laravel_framework
2015-02-01,82.0,magento_magento2
2015-02-01,110.0,MarlinFirmware_Marlin
2015-02-01,74.0,matplotlib_matplotlib
2015-02-01,14.0,matrixorg_synapse
2015-02-01,38.0,microsoft_TypeScript
2015-02-01,204.0,mrdoob_three.js
2015-02-01,127.0,mui_materialui
2015-02-01,59.0,neovim_neovim
2015-02-01,76.0,NixOS_nixpkgs
2015-02-01,155.0,nodejs_node
2015-02-01,26.0,obsproject_obsstudio
2015-02-01,169.0,odoo_odoo
2015-02-01,243.0,opencv_opencv
2015-02-01,53.0,openhab_openhabaddons
2015-02-01,11.0,openshift_openshiftdocs
2015-02-01,43.0,openssl_openssl
2015-02-01,72.0,pandasdev_pandas
2015-02-01,109.0,php_phpsrc
2015-02-01,9.0,postmanlabs_postmanappsupport
2015-02-01,71.0,PrestaShop_PrestaShop
2015-02-01,17.0,qbittorrent_qBittorrent
2015-02-01,27.0,qgis_QGIS
2015-02-01,2.0,qmk_qmk_firmware
2015-02-01,304.0,rails_rails
2015-02-01,9.0,rancher_rancher
2015-02-01,123.0,rapid7_metasploitframework
2015-02-01,79.0,redis_redis
2015-02-01,13.0,RPCS3_rpcs3
2015-02-01,11.0,rstudio_rstudio
2015-02-01,137.0,rustlang_rust
2015-02-01,155.0,scikitlearn_scikitlearn
2015-02-01,39.0,scipy_scipy
2015-02-01,5.0,spack_spack
2015-02-01,25.0,spyderide_spyder
2015-02-01,138.0,symfony_symfony
2015-02-01,43.0,tgstation_tgstation
2015-02-01,59.0,woocommerce_woocommerce
2015-02-01,98.0,xbmc_xbmc
2015-03-01,1.0,AdguardTeam_AdguardFilters
2015-03-01,242.0,angular_angular
2015-03-01,22.0,ankidroid_AnkiAndroid
2015-03-01,176.0,ansible_ansible
2015-03-01,42.0,apache_flink
2015-03-01,388.0,apache_spark
2015-03-01,207.0,ArduPilot_ardupilot
2015-03-01,13.0,Automattic_jetpack
2015-03-01,37.0,Azure_azurepowershell
2015-03-01,5.0,Azure_azuresdkforjava
2015-03-01,17.0,Azure_azuresdkfornet
2015-03-01,9.0,Azure_azuresdkforpython
2015-03-01,123.0,bitcoin_bitcoin
2015-03-01,71.0,ceph_ceph
2015-03-01,42.0,CleverRaven_CataclysmDDA
2015-03-01,87.0,cmssw_cmssw
2015-03-01,34.0,cockroachdb_cockroach
2015-03-01,2.0,cypressio_cypress
