开源项目名称,项目创建者满意度,项目维护者满意度,项目贡献者满意度,用户满意度
AdguardTeam_AdguardFilters,114.69541047323106,819.654346208465,113.80322163161112,713.3178870963284
airbytehq_airbyte,271.8029038289386,737.0464583539658,433.372021769516,751.5124514246833
alibaba_nacos,368.22455793271325,176.78847173161222,36.87001687134951,320.22612971180075
angular_angular,807.3911910839736,702.9491718560259,381.96756100609105,1102.8686306346137
angular_components,323.59684277359605,430.0742780050547,159.0811647873897,490.2199331143605
ankidroid_AnkiAndroid,68.25277397336855,103.92045687918973,65.12858585928788,214.53902284524074
ansible_ansible,651.0695410610149,890.7616184048283,374.64889225501304,1142.228209834852
antdesign_antdesign,853.7896010730581,395.077666251565,142.21015345981226,809.5818984909595
apache_airflow,309.0338223003561,310.98923673186636,255.53607240348052,535.6988047435569
apache_apisix,156.090296768389,156.44495415105413,133.7676224837381,294.8606829113791
apache_arrow,120.99501798435962,220.2848537555286,325.4572285971269,406.10101964365845
apache_beam,124.42974166888487,330.46914505109015,321.2164919855378,533.2961477848427
apache_dolphinscheduler,184.58272895784378,257.48753056934544,76.24400611528559,400.44968494821717
apache_doris,93.87652093244668,279.9455514556503,116.58089189687938,233.0123909625927
apache_flink,226.4709394824247,299.4554885193789,192.35460793808167,408.45392168140836
apache_hudi,74.52275645480293,139.73759112841373,142.2737877856233,328.81782949043316
apache_iceberg,88.68941239167246,155.34949651640113,318.30845960395607,236.3765816699021
apache_pulsar,133.4076031152756,333.78474441575463,143.82328379701005,376.8345946154423
apache_shardingsphere,171.58599421898046,240.37367637758894,84.90273164626187,280.27457504165415
apache_spark,496.2601243122042,489.4864936470599,971.8849345451157,2428.006610674729
apache_superset,343.1680719403597,252.14959594646697,102.5213749769975,470.33164048336846
apache_tvm,137.9127155671214,216.28494392851871,222.44014662204404,318.43173906766253
apple_swift,430.74582829662916,549.9878784093842,287.8905286707836,1045.9518780004653
appsmithorg_appsmith,320.52949259408217,657.6264725938266,182.06451508095745,943.3386990355297
archwaynetwork_testnets,1127.0697642306536,1220.8750572151916,201.61480165584234,277.7229294353069
ArduPilot_ardupilot,221.13654125141244,240.6654945898447,134.91387103426771,355.215664436043
argoproj_argocd,174.99319461094285,199.95377992062112,49.470359274923354,286.73904642813613
AUTOMATIC1111_stablediffusionwebui,3108.1487181873217,656.9115385453777,177.67258740004104,2568.8137845810543
Automattic_jetpack,80.07212385634602,277.35894633853496,121.76187765484215,355.0141792163455
Automattic_wpcalypso,217.77758035351002,749.823890230525,495.6125253700793,1005.3902923193436
aws_awscdk,282.8056932855461,562.076589757773,291.3739146313328,857.5507431982529
awsamplify_amplifycli,137.2314379905146,298.4826305134508,104.41377102948289,359.87380082053437
azerothcore_azerothcorewotlk,72.80010513343623,190.9290292575138,43.65039116836688,255.25594398683918
Azure_azurecli,182.89615417433674,463.8749013820094,184.59868515907203,424.21728200054986
Azure_azurepowershell,130.6925877458365,695.124556335712,134.36183319420945,283.65423162249624
Azure_azurerestapispecs,169.33269001979284,986.3006351545029,220.22534026559615,659.8806038793523
Azure_azuresdkforjava,76.27710683945924,1233.3502211115733,234.72584543184644,279.6649564362255
Azure_azuresdkforjs,94.84982289804509,972.7427933790867,291.8046635376202,342.8811024266506
Azure_azuresdkfornet,140.98788705566213,899.7896100759332,243.78604660815358,332.0254223408673
Azure_azuresdkforpython,81.32992023586237,783.3499502332951,138.43990317005736,246.66801561191824
backstage_backstage,341.97823170840763,429.5869244257128,285.5100545560941,568.9408495390827
bevyengine_bevy,345.4627774600667,226.81143843385183,224.6659646868137,570.1912320442801
bioconda_biocondarecipes,119.50723390691924,389.25349590989237,47.62260479605003,383.68532338345017
bitcoin_bitcoin,523.8438918069901,283.48497471947354,326.9031599272102,757.1849284481584
bitnami_charts,168.31434976620508,169.33677766125777,66.15556318086165,229.8707250368656
brave_bravebrowser,231.6005372750002,382.5767185135021,30.367568171474232,517.4665369379532
brave_bravecore,91.61214389775877,374.14563029346004,144.20490244950594,269.492574168212
ccxt_ccxt,267.7600284695078,211.39851534483932,62.22399506910348,375.8782964720453
ceph_ceph,181.2072724262508,586.5046548724199,404.67228580859296,684.4514682190859
