项目名称,项目健康度总分
MetaMask_ethphishingdetect,42.58051185773101
Regalis11_Barotrauma,55.08921516840783
rstudio_rstudio,77.07996731857243
nextcloud_desktop,80.45061233289974
tachiyomiorg_tachiyomiextensions,86.53997256359854
prusa3d_PrusaSlicer,91.13892872854991
directus_directus,95.48247142846368
JetBrains_swot,99.84302638173104
postmanlabs_postmanappsupport,100.33859362998832
ankidroid_AnkiAndroid,110.32040404158168
termux_termuxpackages,114.28506732157544
homeassistant_frontend,116.31371860301844
matrixorg_synapse,123.3512086208688
tachiyomiorg_tachiyomi,125.31314287347628
uBlockOrigin_uAssets,126.04094771253104
MicrosoftDocs_microsoft365docs,126.2093179319386
darktableorg_darktable,128.3267139684196
MicrosoftDocs_msteamsdocs,128.7167131759736
firebase_firebaseandroidsdk,129.4029848036992
azerothcore_azerothcorewotlk,133.38275106461094
helium_denylist,136.84802939498456
ethereum_ethereumorgwebsite,139.710843320845
keycloak_keycloak,144.87672042839768
docker_docs,145.94158217906158
rufflers_ruffle,146.27987322115777
ziglang_zig,150.73544718499664
jitsi_jitsimeet,150.9973193091687
Ultimaker_Cura,151.9439824529073
GoogleChrome_developer.chrome.com,153.48906225061265
gravitational_teleport,156.0164745717284
PixelExperience_androidissues,156.67271608469628
LeetCodeFeedback_LeetCodeFeedback,157.21421178633537
apache_doris,158.3129081449327
spyderide_spyder,159.93611619339976
apache_hudi,160.18735088295546
RPCS3_rpcs3,160.27675129978016
TeamNewPipe_NewPipe,161.22999464541044
flathub_flathub,161.9243600797589
bitnami_charts,162.6043655015422
filecoinproject_filecoinpluslargedatasets,162.79844142628485
DataDog_datadogagent,166.13963910208358
influxdata_telegraf,166.25525764254175
ppy_osu,167.35249018553773
IntelRealSense_librealsense,168.8339202032525
macports_macportsports,172.17613747721597
argoproj_argocd,173.62993158614918
homeassistant_homeassistant.io,176.1640845579688
flutter_engine,177.75558889577536
sectionengineeringeducation_engineeringeducation,178.20119673748158
idsb3t1_KEEPpipelinetestsresources,178.49616680509928
renovatebot_renovate,179.86594634833784
openwrt_openwrt,180.3464284022897
cloudflare_cloudflaredocs,180.54415984912887
bioconda_biocondarecipes,181.56516826334692
flutter_plugins,182.0252154184469
apache_apisix,183.9464257931532
xamarin_xamarinmacios,184.63656494417097
mlflow_mlflow,185.04269531620503
apache_iceberg,185.52823939272488
espressif_espidf,185.54252272924836
lensapp_lens,189.13683367373963
MetaMask_metamaskextension,189.72129951795088
github_codeql,191.58670642132523
Automattic_jetpack,191.90081154626927
scipy_scipy,194.61341337265927
apache_shardingsphere,195.5465768609569
llvm_llvmproject,195.9166940849663
mui_muix,196.31875384501743
tailscale_tailscale,197.78527150170345
Kaiserreich_Kaiserreich4,202.3946779665406
awsamplify_amplifycli,203.1288645800108
php_phpsrc,204.758530821681
dbeaver_dbeaver,205.30141159404877
hashicorp_vault,206.0397742130232
newrelic_docswebsite,206.65815627304164
mattermost_mattermostwebapp,206.89239632771904
obsproject_obsstudio,207.904952571488
yuzuemu_yuzu,210.3196275667345
apache_tvm,212.10324130557888
brave_bravecore,212.31602468089028
redis_redis,212.34550477766368
grafana_loki,217.37202441259905
zerotomastery_starthereguidelines,218.31870266195745
microsoft_azuredatastudio,218.3952009860158
opentelemetry_opentelemetrycollectorcontrib,219.6136572879865
openhab_openhabaddons,220.73055533257627
qbittorrent_qBittorrent,223.55748318081663
apache_pulsar,224.86642534115884
microsoft_WSL,225.26785720407628
xbmc_xbmc,225.3929571080476
nrwl_nx,225.61766519284785
apache_dolphinscheduler,226.004014013411
dotnet_docs,226.3570057499199
elementor_elementor,226.6159081582222
departmentofveteransaffairs_va.govteam,226.7369010486438
gitpodio_gitpod,227.0444626144501
microsoft_vscodejupyter,227.45474135896416
ShadowMario_FNFPsychEngine,228.88872767203435
firebase_flutterfire,230.90368461089705
openjournals_jossreviews,231.63788994453796
OpenAPITools_openapigenerator,233.40229738756136
matplotlib_matplotlib,233.67666275606257
spack_spack,233.8844228575664
freddier_hyperblog,234.43098472811093
mastodon_mastodon,235.62088598087345
